age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,experience,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,marialstatus
23,0,rarely,541,sales,2,1,technical degree,113,3,Male,62,3,1,sales representative,1,Divorced,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,divorced
51,0,rarely,432,research & development,9,4,life sciences,116,4,Male,96,3,1,laboratory technician,4,Married,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,married
30,0,rarely,288,research & development,2,3,life sciences,117,3,Male,99,2,2,healthcare representative,4,Married,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,married
46,0,rarely,669,sales,9,2,medical,118,3,Male,64,2,3,sales executive,4,Single,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,single
40,0,frequently,530,research & development,1,4,life sciences,119,3,Male,78,2,4,healthcare representative,2,Married,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,married
51,0,rarely,632,sales,21,4,marketing,120,3,Male,71,3,2,sales executive,4,Single,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,single
30,0,rarely,1334,sales,4,2,medical,121,3,Female,63,2,2,sales executive,2,Divorced,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,divorced
46,0,frequently,638,research & development,1,3,medical,124,3,Male,40,2,3,healthcare representative,1,Married,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,married
32,0,rarely,1093,sales,6,4,medical,125,2,Male,87,3,2,sales executive,3,Single,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,single
54,0,rarely,1217,research & development,2,4,technical degree,126,1,Female,60,3,3,research director,3,Married,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,married
28,0,non,120,sales,4,3,medical,129,2,Male,43,3,2,sales executive,3,Married,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,married
58,0,rarely,682,sales,10,4,medical,131,4,Male,37,3,4,sales executive,3,Single,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,single
44,0,non,489,research & development,23,3,medical,132,2,Male,67,3,2,laboratory technician,2,Married,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,married
37,0,rarely,807,human resources,6,4,human resources,133,3,Male,63,3,1,human resources,1,Divorced,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,divorced
32,0,rarely,827,research & development,1,1,life sciences,134,4,Male,71,3,1,research scientist,1,Single,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,single
20,0,frequently,871,research & development,6,3,life sciences,137,4,Female,66,2,1,laboratory technician,4,Single,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,single
37,0,non,1040,research & development,2,2,life sciences,139,3,Male,100,2,2,healthcare representative,4,Divorced,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,divorced
25,0,rarely,240,sales,5,3,marketing,142,3,Male,46,2,2,sales executive,3,Single,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,single
25,0,rarely,1280,research & development,7,1,medical,143,4,Male,64,2,1,research scientist,4,Married,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,married
22,0,rarely,534,research & development,15,3,medical,144,2,Female,59,3,1,laboratory technician,4,Single,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,single
51,0,frequently,1456,research & development,1,4,medical,145,1,Female,30,2,3,healthcare representative,1,Single,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,single
34,0,frequently,658,research & development,7,3,life sciences,147,1,Male,66,1,2,laboratory technician,3,Single,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,single
24,0,rarely,1127,research & development,18,1,life sciences,150,2,Male,52,3,1,laboratory technician,3,Married,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,married
34,0,rarely,1031,research & development,6,4,life sciences,151,3,Female,45,2,2,research scientist,2,Divorced,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,divorced
37,0,rarely,1189,sales,3,3,life sciences,152,3,Male,87,3,3,sales executive,4,Single,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,single
34,0,rarely,1354,research & development,5,3,medical,153,3,Female,45,2,3,manager,1,Single,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,single
36,0,frequently,1467,sales,11,2,technical degree,154,2,Female,92,3,3,sales executive,4,Married,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,married
36,0,rarely,922,research & development,3,2,life sciences,155,1,Female,39,3,1,laboratory technician,4,Divorced,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,divorced
30,0,frequently,1312,research & development,23,3,life sciences,159,1,Male,96,1,1,research scientist,3,Divorced,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,divorced
33,0,non,750,sales,22,2,marketing,160,3,Male,95,3,2,sales executive,2,Married,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,married
56,0,rarely,441,research & development,14,4,life sciences,161,2,Female,72,3,1,research scientist,2,Married,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,married
31,0,rarely,249,sales,6,4,life sciences,163,2,Male,76,1,2,sales executive,3,Married,6172,20739,4,1,18,3,2,0,12,3,2,7,7,7,7,married
58,0,rarely,147,research & development,23,4,medical,165,4,Female,94,3,3,healthcare representative,4,Married,10312,3465,1,0,12,3,4,1,40,3,2,40,10,15,6,married
19,0,rarely,528,sales,22,1,marketing,167,4,Male,50,3,1,sales representative,3,Single,1675,26820,1,1,19,3,4,0,0,2,2,0,0,0,0,single
22,0,rarely,594,research & development,2,1,technical degree,169,3,Male,100,3,1,laboratory technician,4,Married,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,married
49,0,rarely,470,research & development,20,4,medical,170,3,Female,96,3,2,manufacturing director,1,Married,6567,5549,1,0,14,3,3,0,16,2,2,15,11,5,11,married
43,0,frequently,957,research & development,28,3,medical,171,2,Female,72,4,1,research scientist,3,Single,4739,16090,4,0,12,3,4,0,18,2,3,3,2,1,2,single
50,0,frequently,809,sales,12,3,marketing,174,3,Female,77,3,3,sales executive,4,Single,9208,6645,4,0,11,3,4,0,16,3,3,2,2,2,1,single
31,0,rarely,542,sales,20,3,life sciences,175,2,Female,71,1,2,sales executive,3,Married,4559,24788,3,1,11,3,3,1,4,2,3,2,2,2,2,married
41,0,rarely,802,sales,9,1,life sciences,176,3,Male,96,3,3,sales executive,3,Divorced,8189,21196,3,1,13,3,3,1,12,2,3,9,7,0,7,divorced
26,0,rarely,1355,human resources,25,1,life sciences,177,3,Female,61,3,1,human resources,3,Married,2942,8916,1,0,23,4,4,1,8,3,3,8,7,5,7,married
36,0,rarely,216,research & development,6,2,medical,178,2,Male,84,3,2,manufacturing director,2,Divorced,4941,2819,6,0,20,4,4,2,7,0,3,3,2,0,1,divorced
51,0,frequently,1150,research & development,8,4,life sciences,179,1,Male,53,1,3,manufacturing director,4,Single,10650,25150,2,0,15,3,4,0,18,2,3,4,2,0,3,single
39,0,rarely,1329,sales,4,4,life sciences,182,4,Female,47,2,2,sales executive,3,Married,5902,14590,4,0,14,3,3,1,17,1,4,15,11,5,9,married
25,0,rarely,959,sales,28,3,life sciences,183,1,Male,41,2,2,sales executive,3,Married,8639,24835,2,0,18,3,4,0,6,3,3,2,2,2,2,married
30,0,rarely,1240,human resources,9,3,human resources,184,3,Male,48,3,2,human resources,4,Married,6347,13982,0,1,19,3,4,0,12,2,1,11,9,4,7,married
32,0,rarely,1033,research & development,9,3,medical,190,1,Female,41,3,1,laboratory technician,1,Single,4200,10224,7,0,22,4,1,0,10,2,4,5,4,0,4,single
45,0,rarely,1316,research & development,29,3,medical,192,3,Male,83,3,1,research scientist,4,Single,3452,9752,5,0,13,3,2,0,9,2,2,6,5,0,3,single
38,0,rarely,364,research & development,3,5,technical degree,193,4,Female,32,3,2,research scientist,3,Single,4317,2302,3,1,20,4,2,0,19,2,3,3,2,2,2,single
30,0,rarely,438,research & development,18,3,life sciences,194,1,Female,75,3,1,research scientist,3,Single,2632,23910,1,0,14,3,3,0,5,4,2,5,4,0,4,single
32,0,frequently,689,sales,9,2,medical,195,4,Male,35,1,2,sales executive,4,Divorced,4668,22812,0,0,17,3,4,3,9,2,4,8,7,0,7,divorced
30,0,rarely,201,research & development,5,3,technical degree,197,4,Female,84,3,1,research scientist,1,Divorced,3204,10415,5,0,14,3,4,1,8,3,3,3,2,2,2,divorced
30,0,rarely,1427,research & development,2,1,medical,198,2,Male,35,2,1,laboratory technician,4,Single,2720,11162,0,0,13,3,4,0,6,3,3,5,3,1,2,single
41,0,rarely,933,research & development,9,4,life sciences,200,3,Male,94,3,1,laboratory technician,1,Married,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,married
19,0,rarely,1181,research & development,3,1,medical,201,2,Female,79,3,1,laboratory technician,2,Single,1483,16102,1,0,14,3,4,0,1,3,3,1,0,0,0,single
40,0,frequently,1395,research & development,26,3,medical,202,2,Female,54,3,2,research scientist,2,Divorced,5605,8504,1,0,11,3,1,1,20,2,3,20,7,2,13,divorced
35,0,rarely,662,sales,1,5,marketing,204,3,Male,94,3,3,sales executive,2,Married,7295,11439,1,0,13,3,1,2,10,3,3,10,8,0,6,married
53,0,rarely,1436,sales,6,2,marketing,205,2,Male,34,3,2,sales representative,3,Married,2306,16047,2,1,20,4,4,1,13,3,1,7,7,4,5,married
45,0,rarely,194,research & development,9,3,life sciences,206,2,Male,60,3,2,laboratory technician,2,Divorced,2348,10901,8,0,18,3,3,1,20,2,1,17,9,0,15,divorced
32,0,frequently,967,sales,8,3,marketing,207,2,Female,43,3,3,sales executive,4,Single,8998,15589,1,0,14,3,4,0,9,2,3,9,8,3,7,single
29,0,non,1496,research & development,1,1,technical degree,208,4,Male,41,3,2,manufacturing director,3,Married,4319,26283,1,0,13,3,1,1,10,1,3,10,7,0,9,married
51,0,rarely,1169,research & development,7,4,medical,211,2,Male,34,2,2,manufacturing director,3,Married,6132,13983,2,0,17,3,3,0,10,2,3,1,0,0,0,married
58,0,rarely,1145,research & development,9,3,medical,214,2,Female,75,2,1,research scientist,2,Married,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,married
40,0,rarely,630,sales,4,4,marketing,215,3,Male,67,2,3,sales executive,4,Married,10855,8552,7,0,11,3,1,1,15,2,2,12,11,2,11,married
34,0,frequently,303,sales,2,4,marketing,216,3,Female,75,3,1,sales representative,3,Married,2231,11314,6,0,18,3,4,1,6,3,3,4,3,1,2,married
22,0,rarely,1256,research & development,19,1,medical,217,3,Male,80,3,1,research scientist,4,Married,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,married
27,0,non,691,research & development,9,3,medical,218,4,Male,57,3,1,research scientist,2,Divorced,2024,5970,6,0,18,3,4,1,6,1,1,2,2,2,2,divorced
28,0,rarely,440,research & development,21,3,medical,221,3,Male,42,3,1,research scientist,4,Married,2713,6672,1,0,11,3,3,1,5,2,1,5,2,0,2,married
57,0,rarely,334,research & development,24,2,life sciences,223,3,Male,83,4,3,healthcare representative,4,Divorced,9439,23402,3,1,16,3,2,1,12,2,1,5,3,1,4,divorced
27,0,non,1450,research & development,3,3,medical,224,3,Male,79,2,1,research scientist,3,Divorced,2566,25326,1,1,15,3,4,1,1,2,2,1,1,0,1,divorced
41,0,rarely,465,research & development,14,3,life sciences,227,1,Male,56,3,1,research scientist,3,Divorced,2451,4609,4,0,12,3,1,1,13,2,3,9,8,1,8,divorced
30,0,rarely,1339,sales,5,3,life sciences,228,2,Female,41,3,3,sales executive,4,Married,9419,8053,2,0,12,3,3,1,12,2,3,10,9,7,4,married
38,0,rarely,702,sales,1,4,life sciences,230,1,Female,59,2,2,sales executive,4,Single,8686,12930,4,0,22,4,3,0,12,2,4,8,3,0,7,single
32,0,rarely,120,research & development,6,5,life sciences,231,3,Male,43,3,1,research scientist,3,Single,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4,single
27,0,rarely,1157,research & development,17,3,technical degree,233,3,Male,51,3,1,research scientist,2,Married,3058,13364,0,1,16,3,4,1,6,3,2,5,2,1,1,married
19,0,frequently,602,sales,1,1,technical degree,235,3,Female,100,1,1,sales representative,1,Single,2325,20989,0,0,21,4,1,0,1,5,4,0,0,0,0,single
36,0,frequently,1480,research & development,3,2,medical,238,4,Male,30,3,1,laboratory technician,2,Single,2088,15062,4,0,12,3,3,0,13,3,2,8,7,7,2,single
30,0,non,111,research & development,9,3,medical,239,3,Male,66,3,2,laboratory technician,1,Divorced,3072,11012,1,0,11,3,3,2,12,4,3,12,9,6,10,divorced
45,0,rarely,1268,sales,4,2,life sciences,240,3,Female,30,3,2,sales executive,1,Divorced,5006,6319,4,1,11,3,1,1,9,3,4,5,4,0,3,divorced
56,0,rarely,713,research & development,8,3,life sciences,241,3,Female,67,3,1,research scientist,1,Divorced,4257,13939,4,1,18,3,3,1,19,3,3,2,2,2,2,divorced
33,0,rarely,134,research & development,2,3,life sciences,242,3,Male,90,3,1,research scientist,4,Single,2500,10515,0,0,14,3,1,0,4,2,4,3,1,0,2,single
19,0,rarely,303,research & development,2,3,life sciences,243,2,Male,47,2,1,laboratory technician,4,Single,1102,9241,1,0,22,4,3,0,1,3,2,1,0,1,0,single
46,0,rarely,526,sales,1,2,marketing,244,2,Female,92,3,3,sales executive,1,Divorced,10453,2137,1,0,25,4,3,3,24,2,3,24,13,15,7,divorced
38,0,rarely,1380,research & development,9,2,life sciences,245,3,Female,75,3,1,laboratory technician,4,Single,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,single
31,0,rarely,140,research & development,12,1,medical,246,3,Female,95,3,1,research scientist,4,Married,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,married
34,0,rarely,629,research & development,27,2,medical,247,4,Female,95,3,1,research scientist,2,Single,2311,5711,2,0,15,3,4,0,9,3,3,3,2,1,2,single
41,0,rarely,1356,sales,20,2,marketing,248,2,Female,70,3,1,sales representative,2,Single,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,single
50,0,rarely,328,research & development,1,3,medical,249,3,Male,86,2,1,laboratory technician,3,Married,3690,3425,2,0,15,3,4,1,5,2,2,3,2,0,2,married
53,0,rarely,1084,research & development,13,2,medical,250,4,Female,57,4,2,manufacturing director,1,Divorced,4450,26250,1,0,11,3,3,2,5,3,3,4,2,1,3,divorced
33,0,rarely,931,research & development,14,3,medical,252,4,Female,72,3,1,research scientist,2,Married,2756,4673,1,0,13,3,4,1,8,5,3,8,7,1,6,married
